nc_file,variable,band,year,scenario,output_name
AIM-SSPRCP-LUmap-SSP1-45-v.1.0.1.nc,forest_unmanaged,18,2020,SSP1-45,AIM_forest_unmanaged_SSP1-45_2020.tif
AIM-SSPRCP-LUmap-SSP1-Baseline-v.1.0.1.nc,forest_unmanaged,18,2020,SSP1-Baseline,AIM_forest_unmanaged_SSP1-Baseline_2020.tif
AIM-SSPRCP-LUmap-SSP2-19-v.1.0.1.nc,forest_unmanaged,18,2020,SSP2-19,AIM_forest_unmanaged_SSP2-19_2020.tif
AIM-SSPRCP-LUmap-SSP2-26-v.1.0.1.nc,forest_unmanaged,18,2020,SSP2-26,AIM_forest_unmanaged_SSP2-26_2020.tif
AIM-SSPRCP-LUmap-SSP2-34-v.1.0.1.nc,forest_unmanaged,18,2020,SSP2-34,AIM_forest_unmanaged_SSP2-34_2020.tif
AIM-SSPRCP-LUmap-SSP2-45-v.1.0.1.nc,forest_unmanaged,18,2020,SSP2-45,AIM_forest_unmanaged_SSP2-45_2020.tif
AIM-SSPRCP-LUmap-SSP2-60-v.1.0.1.nc,forest_unmanaged,18,2020,SSP2-60,AIM_forest_unmanaged_SSP2-60_2020.tif
AIM-SSPRCP-LUmap-SSP2-Baseline-v.1.0.1.nc,forest_unmanaged,18,2020,SSP2-Baseline,AIM_forest_unmanaged_SSP2-Baseline_2020.tif
AIM-SSPRCP-LUmap-SSP3-34-v.1.0.1.nc,forest_unmanaged,18,2020,SSP3-34,AIM_forest_unmanaged_SSP3-34_2020.tif
AIM-SSPRCP-LUmap-SSP3-45-v.1.0.1.nc,forest_unmanaged,18,2020,SSP3-45,AIM_forest_unmanaged_SSP3-45_2020.tif
AIM-SSPRCP-LUmap-SSP3-60-v.1.0.1.nc,forest_unmanaged,18,2020,SSP3-60,AIM_forest_unmanaged_SSP3-60_2020.tif
AIM-SSPRCP-LUmap-SSP3-Baseline-v.1.0.1.nc,forest_unmanaged,18,2020,SSP3-Baseline,AIM_forest_unmanaged_SSP3-Baseline_2020.tif
AIM-SSPRCP-LUmap-SSP1-19-v.1.0.1.nc,forest_managed,12,2010,SSP1-19,AIM_forest_managed_SSP1-19_2010.tif
AIM-SSPRCP-LUmap-SSP1-26-v.1.0.1.nc,forest_managed,12,2010,SSP1-26,AIM_forest_managed_SSP1-26_2010.tif
AIM-SSPRCP-LUmap-SSP1-34-v.1.0.1.nc,forest_managed,12,2010,SSP1-34,AIM_forest_managed_SSP1-34_2010.tif
AIM-SSPRCP-LUmap-SSP1-45-v.1.0.1.nc,forest_managed,12,2010,SSP1-45,AIM_forest_managed_SSP1-45_2010.tif
AIM-SSPRCP-LUmap-SSP1-Baseline-v.1.0.1.nc,forest_managed,12,2010,SSP1-Baseline,AIM_forest_managed_SSP1-Baseline_2010.tif
AIM-SSPRCP-LUmap-SSP2-19-v.1.0.1.nc,forest_managed,12,2010,SSP2-19,AIM_forest_managed_SSP2-19_2010.tif
AIM-SSPRCP-LUmap-SSP2-26-v.1.0.1.nc,forest_managed,12,2010,SSP2-26,AIM_forest_managed_SSP2-26_2010.tif
AIM-SSPRCP-LUmap-SSP2-34-v.1.0.1.nc,forest_managed,12,2010,SSP2-34,AIM_forest_managed_SSP2-34_2010.tif
AIM-SSPRCP-LUmap-SSP2-45-v.1.0.1.nc,forest_managed,12,2010,SSP2-45,AIM_forest_managed_SSP2-45_2010.tif
AIM-SSPRCP-LUmap-SSP2-60-v.1.0.1.nc,forest_managed,12,2010,SSP2-60,AIM_forest_managed_SSP2-60_2010.tif
AIM-SSPRCP-LUmap-SSP2-Baseline-v.1.0.1.nc,forest_managed,12,2010,SSP2-Baseline,AIM_forest_managed_SSP2-Baseline_2010.tif
AIM-SSPRCP-LUmap-SSP3-34-v.1.0.1.nc,forest_managed,12,2010,SSP3-34,AIM_forest_managed_SSP3-34_2010.tif
AIM-SSPRCP-LUmap-SSP3-45-v.1.0.1.nc,forest_managed,12,2010,SSP3-45,AIM_forest_managed_SSP3-45_2010.tif
AIM-SSPRCP-LUmap-SSP3-60-v.1.0.1.nc,forest_managed,12,2010,SSP3-60,AIM_forest_managed_SSP3-60_2010.tif
AIM-SSPRCP-LUmap-SSP3-Baseline-v.1.0.1.nc,forest_managed,12,2010,SSP3-Baseline,AIM_forest_managed_SSP3-Baseline_2010.tif
AIM-SSPRCP-LUmap-SSP1-19-v.1.0.1.nc,forest_managed,19,2020,SSP1-19,AIM_forest_managed_SSP1-19_2020.tif
AIM-SSPRCP-LUmap-SSP1-26-v.1.0.1.nc,forest_managed,19,2020,SSP1-26,AIM_forest_managed_SSP1-26_2020.tif
AIM-SSPRCP-LUmap-SSP1-34-v.1.0.1.nc,forest_managed,19,2020,SSP1-34,AIM_forest_managed_SSP1-34_2020.tif
AIM-SSPRCP-LUmap-SSP1-45-v.1.0.1.nc,forest_managed,19,2020,SSP1-45,AIM_forest_managed_SSP1-45_2020.tif
AIM-SSPRCP-LUmap-SSP1-Baseline-v.1.0.1.nc,forest_managed,19,2020,SSP1-Baseline,AIM_forest_managed_SSP1-Baseline_2020.tif
